,_num_Sales,_num_Expenses,_num_Operating Profit,_num_OPM %,_num_Other Income,_num_Interest,_num_Depreciation,_num_Profit Before Tax,_num_Tax %,_num_Net Profit,_num_EPS in Rs,_num_10min-ar_pct,_num_15min-ar_pct,_num_20min-ar_pct,_num_25min-ar_pct,_num_30min-ar_pct
_num_Sales,1.0,0.9950604177622788,0.8040707626699809,0.0058620070998104045,0.5076800340694737,0.4991493413707087,0.6641347580882663,0.7938326603115863,-0.003097774065028314,0.787672449887131,-0.0013807914230859722,0.0026989905183774335,0.0037054319852024907,0.0027256741317453724,0.003244525952458714,0.002886379381558826
_num_Expenses,0.9950604177622788,1.0,0.7410789462842013,0.004738951732736224,0.339193379942719,0.2079477519584521,0.6013111277302698,0.7197565397991862,-0.0035048407885458406,0.7183451590493438,-0.0013834763572706547,0.0013528217192562539,0.001994975779999459,0.0011540650098822173,0.0018372732298225663,0.0014996006181468105
_num_Operating Profit,0.8040707626699809,0.7410789462842013,1.0,0.011266023919403999,0.5184538822206615,0.7329518120889496,0.8810135947530808,0.8978110191446094,0.000803297356292481,0.8728165498678112,-0.0010094562676121652,0.009008601191242005,0.011271645671745583,0.009689522351200979,0.010800378810607254,0.010066634684637553
_num_OPM %,0.0058620070998104045,0.004738951732736224,0.011266023919403999,1.0,0.004645354551142052,0.00939166603777529,0.007560379659508258,0.010504067689432874,0.002828373443838376,0.010300356220375508,0.0026361243271031593,-0.008874810980872125,0.003813495991260036,0.0014683547395311595,-0.0013813415299806394,-0.001543400059608229
_num_Other Income,0.5076800340694737,0.339193379942719,0.5184538822206615,0.004645354551142052,1.0,0.7002075337453321,0.2635877377680734,0.6216819353970372,-0.003158838753210001,0.6277476944610367,0.0015893721662660538,0.006314722283378542,0.0031751422564192827,0.002550307683981011,0.0033669372688160133,0.0029632072968178882
_num_Interest,0.4991493413707087,0.2079477519584521,0.7329518120889496,0.00939166603777529,0.7002075337453321,1.0,0.27681672224478726,0.4350492566124552,-0.0011346686007884196,0.4093238518279999,-0.0014576375749004976,0.003800156299453296,0.00543366194580496,0.0013907897047744729,0.004516926958761292,0.002403818193539853
_num_Depreciation,0.6641347580882663,0.6013111277302698,0.8810135947530808,0.007560379659508258,0.2635877377680734,0.27681672224478726,1.0,0.6019361691987746,-0.0004123182841081147,0.5769590058569399,-0.0015915150681709933,0.005033799582905893,0.0032096531641951096,0.0017342935187135112,0.001345973249647504,0.0013802634206886
_num_Profit Before Tax,0.7938326603115863,0.7197565397991862,0.8978110191446094,0.010504067689432874,0.6216819353970372,0.4350492566124552,0.6019361691987746,1.0,0.0008911894515998155,0.9923507883942542,0.0007382881985984023,0.01118429387086628,0.013583178648146036,0.011996523592861992,0.013490409332651311,0.011773609152891449
_num_Tax %,-0.003097774065028314,-0.0035048407885458406,0.000803297356292481,0.002828373443838376,-0.003158838753210001,-0.0011346686007884196,-0.0004123182841081147,0.0008911894515998155,1.0,-0.007757795007086053,-0.0004767280296435048,-0.01410967451604038,-0.003551582210198325,-0.015514159532984581,-0.030669632712627286,-0.02762962651815983
_num_Net Profit,0.787672449887131,0.7183451590493438,0.8728165498678112,0.010300356220375508,0.6277476944610367,0.4093238518279999,0.5769590058569399,0.9923507883942542,-0.007757795007086053,1.0,0.0011595036606132168,0.011463211714721887,0.013669279534308612,0.012840197976191424,0.014106025878779703,0.012387017973898415
_num_EPS in Rs,-0.0013807914230859722,-0.0013834763572706547,-0.0010094562676121652,0.0026361243271031593,0.0015893721662660538,-0.0014576375749004976,-0.0015915150681709933,0.0007382881985984023,-0.0004767280296435048,0.0011595036606132168,1.0,0.004137834252228279,0.0009236211580403277,0.0025138797952820487,-0.0003355536961793829,0.0017327578350730267
_num_10min-ar_pct,0.0026989905183774335,0.0013528217192562539,0.009008601191242005,-0.008874810980872125,0.006314722283378542,0.003800156299453296,0.005033799582905893,0.01118429387086628,-0.01410967451604038,0.011463211714721887,0.004137834252228279,1.0,0.7510456723435717,0.6608033514189312,0.6112331990948398,0.5711528024135428
_num_15min-ar_pct,0.0037054319852024907,0.001994975779999459,0.011271645671745583,0.003813495991260036,0.0031751422564192827,0.00543366194580496,0.0032096531641951096,0.013583178648146036,-0.003551582210198325,0.013669279534308612,0.0009236211580403277,0.7510456723435717,1.0,0.8617797059080822,0.7876596912024242,0.7357659204863541
_num_20min-ar_pct,0.0027256741317453724,0.0011540650098822173,0.009689522351200979,0.0014683547395311595,0.002550307683981011,0.0013907897047744729,0.0017342935187135112,0.011996523592861992,-0.015514159532984581,0.012840197976191424,0.0025138797952820487,0.6608033514189312,0.8617797059080822,1.0,0.8998402131501481,0.840078166122839
_num_25min-ar_pct,0.003244525952458714,0.0018372732298225663,0.010800378810607254,-0.0013813415299806394,0.0033669372688160133,0.004516926958761292,0.001345973249647504,0.013490409332651311,-0.030669632712627286,0.014106025878779703,-0.0003355536961793829,0.6112331990948398,0.7876596912024242,0.8998402131501481,1.0,0.917897450071654
_num_30min-ar_pct,0.002886379381558826,0.0014996006181468105,0.010066634684637553,-0.001543400059608229,0.0029632072968178882,0.002403818193539853,0.0013802634206886,0.011773609152891449,-0.02762962651815983,0.012387017973898415,0.0017327578350730267,0.5711528024135428,0.7357659204863541,0.840078166122839,0.917897450071654,1.0
